Legislation Number,CurrentState,PresidentSigned,WhatIsIt,ConstitutionalVibe,DateIntroduced,DateCommitteConsidered,DateFloorConsidered,DatePassedOneChamber,DatePassedBothChambers,DatePresidentDecide,URL,Congress,Title,Sponsor,Party of Sponsor,Date of Introduction,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Number of Cosponsors,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Number of Related Bills,Related Bill,Related Bill,Related Bill Relationships Identified by,Related Bill Relationships Identified by,Related Bill Latest Action,Related Bill Latest Action,Latest Summary,Amends Bill,Date Offered,Date Submitted,Amendment Text (Latest)
H.R. 51,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/51,119th Congress (2025-2026),"To provide for the admission of the State of Washington, D.C. into the Union.","Norton, Eleanor Holmes [Del.-D-DC] (Introduced 01/03/2025)",Democratic,1/3/2025,"House - Oversight and Government Reform, Rules, Armed Services, Judiciary, Energy and Commerce","Referred to the Committee on Oversight and Government Reform, and in addition to the Committees on Rules, Armed Services, the Judiciary, and Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",1/3/2025,"Jeffries, Hakeem S. [Rep.-D-NY-8]","Clark, Katherine M. [Rep.-D-MA-5]","Aguilar, Pete [Rep.-D-CA-33]","Adams, Alma S. [Rep.-D-NC-12]","Beyer, Donald S. [Rep.-D-VA-8]","Bishop, Sanford D. [Rep.-D-GA-2]","Bonamici, Suzanne [Rep.-D-OR-1]","Brownley, Julia [Rep.-D-CA-26]","Budzinski, Nikki [Rep.-D-IL-13]","Carbajal, Salud O. [Rep.-D-CA-24]","Carson, André [Rep.-D-IN-7]","Carter, Troy A. [Rep.-D-LA-2]","Casar, Greg [Rep.-D-TX-35]","Gomez, Jimmy [Rep.-D-CA-34]","Green, Al [Rep.-D-TX-9]","Grijalva, Raúl M. [Rep.-D-AZ-7]","Himes, James A. [Rep.-D-CT-4]","Horsford, Steven [Rep.-D-NV-4]","Houlahan, Chrissy [Rep.-D-PA-6]","Hoyer, Steny H. [Rep.-D-MD-5]","Hoyle, Val T. [Rep.-D-OR-4]","Huffman, Jared [Rep.-D-CA-2]","Ivey, Glenn [Rep.-D-MD-4]","Jackson, Jonathan L. [Rep.-D-IL-1]","Jacobs, Sara [Rep.-D-CA-51]","Moore, Gwen [Rep.-D-WI-4]","Moulton, Seth [Rep.-D-MA-6]","Mrvan, Frank J. [Rep.-D-IN-1]","Mullin, Kevin [Rep.-D-CA-15]","Nadler, Jerrold [Rep.-D-NY-12]","Neal, Richard E. [Rep.-D-MA-1]","Neguse, Joe [Rep.-D-CO-2]","Strickland, Marilyn [Rep.-D-WA-10]","Swalwell, Eric [Rep.-D-CA-14]","Sykes, Emilia Strong [Rep.-D-OH-13]","Takano, Mark [Rep.-D-CA-39]","Thanedar, Shri [Rep.-D-MI-13]","Thompson, Bennie G. [Rep.-D-MS-2]","Tlaib, Rashida [Rep.-D-MI-12]","Tokuda, Jill N. [Rep.-D-HI-2]","Tonko, Paul [Rep.-D-NY-20]","Torres, Norma J. [Rep.-D-CA-35]","Torres, Ritchie [Rep.-D-NY-15]","Trahan, Lori [Rep.-D-MA-3]","Vargas, Juan [Rep.-D-CA-52]","Brown, Shontel M. [Rep.-D-OH-11]","Clarke, Yvette D. [Rep.-D-NY-9]","Cleaver, Emanuel [Rep.-D-MO-5]","Davids, Sharice [Rep.-D-KS-3]","Frost, Maxwell [Rep.-D-FL-10]","Garamendi, John [Rep.-D-CA-8]","García, Jesús G. ""Chuy"" [Rep.-D-IL-4]","Garcia, Robert [Rep.-D-CA-42]","Garcia, Sylvia R. [Rep.-D-TX-29]","Scott, Robert C. ""Bobby"" [Rep.-D-VA-3]","Sewell, Terri A. [Rep.-D-AL-7]","Sherman, Brad [Rep.-D-CA-32]","Smith, Adam [Rep.-D-WA-9]","Sorensen, Eric [Rep.-D-IL-17]","Soto, Darren [Rep.-D-FL-9]","Stansbury, Melanie A. [Rep.-D-NM-1]","Morelle, Joseph D. [Rep.-D-NY-25]","Larsen, Rick [Rep.-D-WA-2]","Larson, John B. [Rep.-D-CT-1]","Lee, Summer L. [Rep.-D-PA-12]","Meeks, Gregory W. [Rep.-D-NY-5]","Scholten, Hillary J. [Rep.-D-MI-3]","Scott, David [Rep.-D-GA-13]","Stevens, Haley M. [Rep.-D-MI-11]","Auchincloss, Jake [Rep.-D-MA-4]","Amo, Gabe [Rep.-D-RI-1]","Balint, Becca [Rep.-D-VT-At Large]","Beatty, Joyce [Rep.-D-OH-3]","Case, Ed [Rep.-D-HI-1]","Casten, Sean [Rep.-D-IL-6]","Castor, Kathy [Rep.-D-FL-14]","Castro, Joaquin [Rep.-D-TX-20]","Cherfilus-McCormick, Sheila [Rep.-D-FL-20]","Chu, Judy [Rep.-D-CA-28]","Clyburn, James E. [Rep.-D-SC-6]","Cohen, Steve [Rep.-D-TN-9]","Connolly, Gerald E. [Rep.-D-VA-11]","Costa, Jim [Rep.-D-CA-21]","Craig, Angie [Rep.-D-MN-2]","Crockett, Jasmine [Rep.-D-TX-30]","Crow, Jason [Rep.-D-CO-6]","Davis, Danny K. [Rep.-D-IL-7]","Dean, Madeleine [Rep.-D-PA-4]","DeGette, Diana [Rep.-D-CO-1]","DeLauro, Rosa L. [Rep.-D-CT-3]","DelBene, Suzan K. [Rep.-D-WA-1]","Deluzio, Christopher R. [Rep.-D-PA-17]","DeSaulnier, Mark [Rep.-D-CA-10]","Dingell, Debbie [Rep.-D-MI-6]","Doggett, Lloyd [Rep.-D-TX-37]","Espaillat, Adriano [Rep.-D-NY-13]","Evans, Dwight [Rep.-D-PA-3]","Foster, Bill [Rep.-D-IL-11]","Foushee, Valerie P. [Rep.-D-NC-4]","Frankel, Lois [Rep.-D-FL-22]","Goldman, Daniel S. [Rep.-D-NY-10]","Jayapal, Pramila [Rep.-D-WA-7]","Johnson, Henry C. ""Hank"" [Rep.-D-GA-4]","Kamlager-Dove, Sydney [Rep.-D-CA-37]","Keating, William R. [Rep.-D-MA-9]","Kelly, Robin L. [Rep.-D-IL-2]","Kennedy, Timothy M. [Rep.-D-NY-26]","Khanna, Ro [Rep.-D-CA-17]","Krishnamoorthi, Raja [Rep.-D-IL-8]","Landsman, Greg [Rep.-D-OH-1]","Leger Fernandez, Teresa [Rep.-D-NM-3]","Lieu, Ted [Rep.-D-CA-36]","Lofgren, Zoe [Rep.-D-CA-18]","Lynch, Stephen F. [Rep.-D-MA-8]","Magaziner, Seth [Rep.-D-RI-2]","Matsui, Doris O. [Rep.-D-CA-7]","McBath, Lucy [Rep.-D-GA-6]","McClellan, Jennifer L. [Rep.-D-VA-4]","McCollum, Betty [Rep.-D-MN-4]","McGarvey, Morgan [Rep.-D-KY-3]","McGovern, James P. [Rep.-D-MA-2]","McIver, LaMonica [Rep.-D-NJ-10]","Menendez, Robert [Rep.-D-NJ-8]","Meng, Grace [Rep.-D-NY-6]","Mfume, Kweisi [Rep.-D-MD-7]","Moskowitz, Jared [Rep.-D-FL-23]","Norcross, Donald [Rep.-D-NJ-1]","Ocasio-Cortez, Alexandria [Rep.-D-NY-14]","Omar, Ilhan [Rep.-D-MN-5]","Pallone, Frank [Rep.-D-NJ-6]","Panetta, Jimmy [Rep.-D-CA-19]","Peters, Scott H. [Rep.-D-CA-50]","Pettersen, Brittany [Rep.-D-CO-7]","Pingree, Chellie [Rep.-D-ME-1]","Pocan, Mark [Rep.-D-WI-2]","Quigley, Mike [Rep.-D-IL-5]","Ramirez, Delia C. [Rep.-D-IL-3]","Raskin, Jamie [Rep.-D-MD-8]","Ross, Deborah K. [Rep.-D-NC-2]","Ruiz, Raul [Rep.-D-CA-25]","Ryan, Patrick [Rep.-D-NY-18]","Salinas, Andrea [Rep.-D-OR-6]","Sánchez, Linda T. [Rep.-D-CA-38]","Stanton, Greg [Rep.-D-AZ-4]","Underwood, Lauren [Rep.-D-IL-14]","Veasey, Marc A. [Rep.-D-TX-33]","Velázquez, Nydia M. [Rep.-D-NY-7]","Wasserman Schultz, Debbie [Rep.-D-FL-25]","Watson Coleman, Bonnie [Rep.-D-NJ-12]","Barragán, Nanette Diaz [Rep.-D-CA-44]","Bera, Ami [Rep.-D-CA-6]","Boyle, Brendan F. [Rep.-D-PA-2]","Escobar, Veronica [Rep.-D-TX-16]","Pressley, Ayanna [Rep.-D-MA-7]","Scanlon, Mary Gay [Rep.-D-PA-5]","Schakowsky, Janice D. [Rep.-D-IL-9]","Schrier, Kim [Rep.-D-WA-8]","Schneider, Bradley Scott [Rep.-D-IL-10]","Williams, Nikema [Rep.-D-GA-5]","Wilson, Frederica S. [Rep.-D-FL-24]","Gottheimer, Josh [Rep.-D-NJ-5]","Turner, Sylvester [Rep.-D-TX-18]","Fields, Cleo [Rep.-D-LA-6]","Subramanyam, Suhas [Rep.-D-VA-10]","Morrison, Kelly [Rep.-D-MN-3]",,165,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 50,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/50,119th Congress (2025-2026),"To prohibit grants provided under section 106 of the Housing and Community Development Act of 1974 from being used to assist persons who are neither a national of the United States nor lawfully admitted for permanent residence, and for other purposes.","Biggs, Andy [Rep.-R-AZ-5] (Introduced 01/03/2025)",Republican,1/3/2025,House - Financial Services,Referred to the House Committee on Financial Services.,1/3/2025,"Ogles, Andrew [Rep.-R-TN-5]","Crane, Elijah [Rep.-R-AZ-2]","Luna, Anna Paulina [Rep.-R-FL-13]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 49,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/49,119th Congress (2025-2026),To prohibit the use of Federal funds for the HHS Reproductive Healthcare Access Task Force.,"Biggs, Andy [Rep.-R-AZ-5] (Introduced 01/03/2025)",Republican,1/3/2025,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,1/3/2025,"LaMalfa, Doug [Rep.-R-CA-1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 48,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/48,119th Congress (2025-2026),To amend the Public Health Service Act to ensure that women seeking an abortion receive an ultrasound and the opportunity to review the ultrasound before giving informed consent to receive an abortion.,"Biggs, Andy [Rep.-R-AZ-5] (Introduced 01/03/2025)",Republican,1/3/2025,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,1/3/2025,"Crenshaw, Dan [Rep.-R-TX-2]","Burlison, Eric [Rep.-R-MO-7]","Crane, Elijah [Rep.-R-AZ-2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 47,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/47,119th Congress (2025-2026),"To establish the Victims of Immigration Crime Engagement Office within the Department of Homeland Security, and for other purposes.","Bergman, Jack [Rep.-R-MI-1] (Introduced 01/03/2025)",Republican,1/3/2025,House - Judiciary,Referred to the House Committee on the Judiciary.,1/3/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 46,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/46,119th Congress (2025-2026),To direct the Federal Communications Commission to prioritize the timely processing of certain long-form applications in the Rural Digital Opportunity Fund Phase II auction.,"Bergman, Jack [Rep.-R-MI-1] (Introduced 01/03/2025)",Republican,1/3/2025,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,1/3/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 45,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/45,119th Congress (2025-2026),"To amend title 41, United States Code, to prohibit the Federal Government from entering into contracts with an entity that discriminates against the firearm and ammunition industry, and for other purposes.","Bergman, Jack [Rep.-R-MI-1] (Introduced 01/03/2025)",Republican,1/3/2025,House - Oversight and Government Reform,Referred to the House Committee on Oversight and Government Reform.,1/3/2025,"Miller, Mary E. [Rep.-R-IL-15]","Finstad, Brad [Rep.-R-MN-1]","Ogles, Andrew [Rep.-R-TN-5]","Reschenthaler, Guy [Rep.-R-PA-14]","Cloud, Michael [Rep.-R-TX-27]","Estes, Ron [Rep.-R-KS-4]","Langworthy, Nicholas A. [Rep.-R-NY-23]","LaMalfa, Doug [Rep.-R-CA-1]","Higgins, Clay [Rep.-R-LA-3]","Weber, Randy K. Sr. [Rep.-R-TX-14]","Hinson, Ashley [Rep.-R-IA-2]","Houchin, Erin [Rep.-R-IN-9]","Kustoff, David [Rep.-R-TN-8]","Moore, Barry [Rep.-R-AL-1]","Scott, Austin [Rep.-R-GA-8]","Harshbarger, Diana [Rep.-R-TN-1]","Amodei, Mark E. [Rep.-R-NV-2]","Huizenga, Bill [Rep.-R-MI-4]","Graves, Sam [Rep.-R-MO-6]","Feenstra, Randy [Rep.-R-IA-4]","Crenshaw, Dan [Rep.-R-TX-2]","Crane, Elijah [Rep.-R-AZ-2]","Tenney, Claudia [Rep.-R-NY-24]","Miller, Max L. [Rep.-R-OH-7]","Guthrie, Brett [Rep.-R-KY-2]","Allen, Rick W. [Rep.-R-GA-12]","Burlison, Eric [Rep.-R-MO-7]","Joyce, John [Rep.-R-PA-13]","Moolenaar, John R. [Rep.-R-MI-2]","Jackson, Ronny [Rep.-R-TX-13]","Carter, Earl L. ""Buddy"" [Rep.-R-GA-1]","Fischbach, Michelle [Rep.-R-MN-7]","Van Duyne, Beth [Rep.-R-TX-24]","Sessions, Pete [Rep.-R-TX-17]","Collins, Mike [Rep.-R-GA-10]","Smith, Adrian [Rep.-R-NE-3]","Messmer, Mark [Rep.-R-IN-8]","Kennedy, Mike [Rep.-R-UT-3]","Harris, Andy [Rep.-R-MD-1]","Rose, John W. [Rep.-R-TN-6]","Ellzey, Jake [Rep.-R-TX-6]","Clyde, Andrew S. [Rep.-R-GA-9]","Fleischmann, Charles J. ""Chuck"" [Rep.-R-TN-3]","Bilirakis, Gus M. [Rep.-R-FL-12]","Steube, W. Gregory [Rep.-R-FL-17]","Tiffany, Thomas P. [Rep.-R-WI-7]","Hudson, Richard [Rep.-R-NC-9]","Lee, Laurel M. [Rep.-R-FL-15]","Gooden, Lance [Rep.-R-TX-5]","Fallon, Pat [Rep.-R-TX-4]","Wilson, Joe [Rep.-R-SC-2]","Valadao, David G. [Rep.-R-CA-22]","Ezell, Mike [Rep.-R-MS-4]","Donalds, Byron [Rep.-R-FL-19]","Hern, Kevin [Rep.-R-OK-1]","Owens, Burgess [Rep.-R-UT-4]","Williams, Roger [Rep.-R-TX-25]","Guest, Michael [Rep.-R-MS-3]","Bean, Aaron [Rep.-R-FL-4]","Strong, Dale W. [Rep.-R-AL-5]","Bacon, Don [Rep.-R-NE-2]","Luna, Anna Paulina [Rep.-R-FL-13]","Issa, Darrell [Rep.-R-CA-48]","Stauber, Pete [Rep.-R-MN-8]","Fry, Russell [Rep.-R-SC-7]","Latta, Robert E. [Rep.-R-OH-5]","Rogers, Mike D. [Rep.-R-AL-3]","Simpson, Michael K. [Rep.-R-ID-2]","Foxx, Virginia [Rep.-R-NC-5]","Yakym, Rudy [Rep.-R-IN-2]","Johnson, Dusty [Rep.-R-SD-At Large]","Mann, Tracey [Rep.-R-KS-1]","Self, Keith [Rep.-R-TX-3]","Meuser, Daniel [Rep.-R-PA-9]","Letlow, Julia [Rep.-R-LA-5]","Babin, Brian [Rep.-R-TX-36]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 44,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/44,119th Congress (2025-2026),To amend title III of the Public Health Service Act to include rural emergency hospitals in the definition of a covered entity for purposes of the 340B drug discount program.,"Bergman, Jack [Rep.-R-MI-1] (Introduced 01/03/2025)",Republican,1/3/2025,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,1/3/2025,"Dingell, Debbie [Rep.-D-MI-6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 43,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/43,119th Congress (2025-2026),"To amend the Alaska Native Claims Settlement Act to provide that Village Corporations shall not be required to convey land in trust to the State of Alaska for the establishment of Municipal Corporations, and for other purposes.","Begich, Nicholas [Rep.-R-AK-At Large] (Introduced 01/03/2025)",Republican,1/3/2025,House - Natural Resources,Referred to the House Committee on Natural Resources.,1/3/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 42,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/42,119th Congress (2025-2026),"To amend the Alaska Native Claims Settlement Act to exclude certain payments to aged, blind, or disabled Alaska Natives or descendants of Alaska Natives from being used to determine eligibility for certain programs, and for other purposes.","Begich, Nicholas [Rep.-R-AK-At Large] (Introduced 01/03/2025)",Republican,1/3/2025,House - Natural Resources,Referred to the House Committee on Natural Resources.,1/3/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 41,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/41,119th Congress (2025-2026),"To provide for the recognition of certain Alaska Native communities and the settlement of certain claims under the Alaska Native Claims Settlement Act, and for other purposes.","Begich, Nicholas [Rep.-R-AK-At Large] (Introduced 01/03/2025)",Republican,1/3/2025,House - Natural Resources,Referred to the House Committee on Natural Resources.,1/3/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 40,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/40,119th Congress (2025-2026),"To address the fundamental injustice, cruelty, brutality, and inhumanity of slavery in the United States and the 13 American colonies between 1619 and 1865 and to establish a commission to study and consider a national apology and proposal for reparations for the institution of slavery, its subsequent de jure and de facto racial and economic discrimination against African Americans, and the impact of these forces on living African Americans, to make recommendations to the Congress on appropriate remedies, and for other purposes.","Pressley, Ayanna [Rep.-D-MA-7] (Introduced 01/03/2025)",Democratic,1/3/2025,House - Judiciary,Referred to the House Committee on the Judiciary.,1/3/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 39,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/39,119th Congress (2025-2026),"To amend title 38, United States Code, to direct the Secretary of Veterans Affairs to establish the Merchant Mariner Equity Compensation Fund to provide benefits to certain individuals who served in the United States merchant marine (including the Army Transport Service and the Naval Transport Service) during World War II.","Green, Al [Rep.-D-TX-9] (Introduced 01/03/2025)",Democratic,1/3/2025,House - Veterans' Affairs,Referred to the House Committee on Veterans' Affairs.,1/3/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
